        0.00         8.50        13.50	 	0

        1.00         7.00        12.00 	 	1

        2.00         5.50        10.50 		2	

        3.00        14.00         9.00 		3

        4.00        12.50         7.50 		4

        5.00        11.00         6.00		5

        6.00        19.50         4.50		6

        7.00        18.00         3.00		7

        8.00        16.50         1.50		8

       9.00        15.00         0.00		9

       10.00        13.50         8.50		10

       11.00        12.00         7.00		11

       12.00        10.50         5.50		12

       13.00         9.00        14.00		13

       14.00         7.50        12.50		14

       15.00         6.00        21.00		15

       16.00         4.50        19.50		16

       17.00         3.00        18.00		17

       18.00         1.50        16.50		18

       19.00         0.00        15.00		19

       20.00         8.5	 13.50   	0

  
